Zip Code,Total Population,Median Age,Average Household Size,Total Males,Total Females,Total Households
91331,103689,29.5,4.6,52358,51331,22465
91335,74363,35.5,3.21,36596,37767,22855
91340,34188,30.1,4.17,17130,17058,8176
91342,91725,31.9,3.83,45786,45939,23543
91343,60254,32.3,3.55,30145,30109,16802
91344,51747,41,3.03,25212,26535,16872
91345,18496,35.7,3.52,9110,9386,5192
91350,33348,36.4,3.01,16270,17078,10991
91351,32362,33.9,3.22,16086,16276,10036
91352,47807,32.1,3.95,23980,23827,11985
91354,28722,36.4,3.01,14046,14676,9522
91355,32605,38.8,2.51,15773,16832,12772
91356,29458,41.7,2.5,14216,15242,11686
91361,20438,47.6,2.43,9854,10584,8374
91362,36045,42.6,2.65,17562,18483,13563
91364,25851,44,2.47,12739,13112,10409
91367,39499,41,2.35,19171,20328,16697
91377,13811,41.7,2.68,6641,7170,5158
91381,20158,36,3.04,9852,10306,6636
91384,29855,32.5,3.3,18503,11352,6925
91387,40328,33,3.13,20106,20222,12871
91390,19786,40.1,3.07,9911,9875,6369
91401,39285,36,2.7,19613,19672,14380
91402,69817,30.1,3.81,35095,34722,18194
91403,23484,39.4,2.06,11277,12207,11358
91405,51145,32.6,3.11,25498,25647,16256
91406,51558,33.6,3.02,25956,25602,17042
91411,24628,33.8,2.63,12495,12133,9177
91423,30991,39.2,2.07,14789,16202,14876
91436,14372,46.5,2.57,6890,7482,5552
91501,20849,38.3,2.53,10040,10809,8235
91502,11371,36.4,2.26,5402,5969,5001
91504,24939,38.6,2.69,12006,12933,9180
91505,30778,38.9,2.33,15121,15657,13180
91506,18904,40.9,2.45,9115,9789,7555
91601,37180,32.9,2.32,18932,18248,15970
91602,17473,38,1.88,8722,8751,9277
91604,29034,40.2,2.01,14271,14763,14292
91605,56343,31.9,3.61,28417,27926,15357
91606,44958,34.3,3,22376,22582,14903
91607,27927,38.2,2.15,13635,14292,12859
91608,0,0,0,0,0,0
91702,59705,29.4,3.67,29486,30219,15455
91706,76571,30.5,4.35,37969,38602,17504
91709,74796,36.6,3.25,36954,37842,22940
91710,80358,33,3.43,42283,38075,21952
91711,35705,38.6,2.58,16777,18928,11868
91722,34409,34,3.41,16859,17550,10079
91723,18275,35,2.86,8783,9492,6296
91724,26184,37.9,3.05,12780,13404,8508
91731,29591,32.9,3.66,14888,14703,8007
91732,61386,31.4,4.13,30755,30631,14700
91733,43896,30.5,4.4,22191,21705,9918
91740,25356,38.5,2.94,12269,13087,8376
91741,25824,41.8,2.82,12498,13326,9126
91744,85040,30.9,4.55,42564,42476,18648
91745,54013,40.1,3.33,26287,27726,16188
91746,30485,32.4,4.5,15116,15369,6743
91748,45406,39.8,3.4,22368,23038,13311
91750,33249,42.6,2.71,15881,17368,11944
91754,32742,42.9,2.92,15620,17122,11193
91755,27496,43.4,3.12,13271,14225,8760
91759,476,47.2,2.2,239,237,216
91763,36375,30.8,3.81,18099,18276,9450
91765,46457,40.8,3.08,22702,23755,15039
91766,71599,28.7,4.01,36111,35488,17708
91767,48068,31.2,3.47,23685,24383,13691
91768,34537,27.3,3.87,17509,17028,7885
91770,62097,38.3,3.7,30521,31576,16588
91773,33119,42.5,2.73,15737,17382,11941
91775,23988,41.4,2.9,11448,12540,8227
91776,38475,39,3.24,18751,19724,11776
91780,34332,41.1,3.03,16438,17894,11318
91784,25938,44.5,2.9,12729,13209,8934
91786,51165,33,2.79,24516,26649,18087
91789,43079,42.8,3.31,20988,22091,12891
91790,44907,35.2,3.49,21721,23186,12751
91791,32414,38,3.15,15512,16902,10236
91792,30854,35.3,3.35,14950,15904,9154
91801,52735,39.1,2.71,24833,27902,19315
91803,30322,39.6,3.04,14486,15836,9894
92301,32725,25.6,3.81,16857,15868,8132
92371,16763,37.9,3.11,8565,8198,5370
92372,6220,41.8,2.83,3136,3084,2198
92397,4894,44.1,2.45,2522,2372,1998
92821,35533,38.7,2.72,17338,18195,13062
92823,3613,38.6,3.13,1757,1856,1154
92833,51767,36,3.23,25643,26124,15849
93040,2031,29.3,3.89,1052,979,522
93063,54366,39,2.9,26592,27774,18650
93225,5077,44,2.44,2585,2492,2080
93243,1699,40.9,2.73,884,815,623
93252,4176,38.4,2.81,3301,875,647
93510,7993,45.2,2.86,4086,3907,2729
93523,3074,27,2.91,1531,1543,1056
93532,2932,41.7,2.45,1642,1290,1079
93534,39341,31.1,2.74,18601,20740,14038
93535,72046,28.3,3.44,34879,37167,20672
93536,70918,34.4,3.07,37804,33114,20964
93543,13033,32.9,3.66,6695,6338,3560
93544,1259,52.4,2.2,689,570,569
93550,74929,27.5,3.58,36414,38515,20864
93551,50798,37,3.18,25056,25742,15963
93552,38158,28.4,3.93,18711,19447,9690
93553,2138,43.3,2.62,1121,1017,816
93560,18910,32.4,2.92,9491,9419,6469
93563,388,44.5,2.53,263,125,103
93591,7285,30.9,3.67,3653,3632,1982
